Arabic,English
رفيقتي,My companion
يوصل,Deliver
نيكولاي,Nikolai
تالبوت,Talbot
تزوير,forgery
حقـًا,Really
منحنا,Our grant
دورنا,Our role
الحيوي,bio
المرجانية,coral
صناعية,Industrial
التنويم,Hypnosis
يوجه,He directs
حاولى,Try
نـعم,Yes
دودج,Dodge
الضائع,The lost
تفادي,avoid
بصراحه,honestly
ثلث,third
رامي,archer
يزيل,Removes
الطاهي,The chef
كa,ka
برأس,head
أجعلهم,Make them
أحسنتَ,I did well
مقيم,resident
مونتغمري,Montgomery
مستقيمة,straight
لحمل,To carry
تقضين,You spend
تعزيز,Strengthening
ألدينا,We have
جليد,ice
غزال,gazelle
تطرق,Address
ترتيبات,arrangements
معدته,His stomach
نابولي,Naples
.ـ,.ـ
أنماط,Patterns
الخطّ,The line
متشوق,eager
وصلتِ,It arrived
فرصةً,an opportunity
وقحاً,rude
إعجابي,My admiration
المائي,Water
عقلاني,rational
لتو,To
اصطدم,collided
قاري,continental
ماكر,cunning
.إن,.that
كأسين,Two cups
متوحش,savage
لاختبار,Test
وفوق,And above
تتكون,It consists
سيقوله,He will say
نأسف,We are sorry
دايفد,David
الوقاحة,rudeness
عظيمُ,great
طھظٹ,Tahz
لأصل,to origin
وعائلتك,and your family
بالكرة,With the ball
ميكا,Mika
أفعلي,Do it
أشغل,Occupy
إئتمان,credit
بِه,With it
تخافوا,Be afraid
نطق,pronunciation
شيفون,chiffon
العناق,hug
اخبرتهم,I told them
اعطيتني,You gave me
بتحطيم,By smashing
يَتكلّمُ,He speaks
ضحكت,She laughed
لآن,because
ستغير,It will change
فرداً,individual
اليلة,Tonight
الناتج,Output
الهلاك,destruction
اصبحنا,We became
تشتعل,It is on fire
تدرب,training
مشى,He walked
تجربته,His experience
عالقاً,Stuck
الرائعين,The wonderful
مارلي,Marley
بالعملية,With the process
البلدان,countries
لمرّة,For once
عنكما,About you
أتعاطى,I take drugs
نتجادل,We argue
جاده,Avenue
ظننتها,I thought it
أريكم,I'll show you
كيليان,Kylian
هزة,shake
تَحْصلُ,You get
الأخري,The other
إحداثيات,Coordinates
بحماقة,foolishly
تنادي,Calling
بوهانون,Bohannon
تشابه,similarity
مستيقظا,awake
وعدته,I promised him
توقعات,Predictions
السد,dam
برونكس,Bronx
تلتزم,It commits
تردي,deterioration
الإستمتاع,Enjoyment
بتفتيش,Inspection
اقبض,Seize
.إذا,.if
نركب,We ride
أذكره,I remember him
كورديليا,Cordelia
شنغهاي,Shanghai
عوضا,Instead
اتظن,Do you think
غضباً,Anger
نودّ,We would like
ماسترز,Masters
ورقم,and number
منتشرة,widespread
ايقافه,Stop him
النخاع,bone marrow
الخ,etc
يمرون,They pass by
الجدية,Seriousness
تناولها,Eat it
عميلي,My client
ماريس,Maris
بنظرة,With a glance
للذِهاب,To go
التذمر,Complaining
لعلّ,perhaps
خمنت,I guessed
سييرا,Sierra
استثمار,investment
تتوقّف,Stop
سؤاله,His question
مقرب,close
يجدها,He finds it
إطعام,feeding
الريث,The rest
وصلتنا,We received
دموي,bloody
تستمرين,You continue
يدعونني,They call me
الذوق,taste
القذائف,Shells
يلقون,They throw
أليشيا,Alicia
لجهاز,device
البحارة,sailors
تحميني,Protect me
كثيراَ,a lot
اليومِ,today
إخباركم,Telling you
بوجهك,With your face
ثمَّ,then
تفي,It fulfills
تنتظرون,You are waiting
أنفاسي,My breath
الإجهاد,stress
ابتزاز,blackmail
مجموعتنا,Our group
موني,Mony
تضعني,You put me
شأننا,Our affair
موافقه,consent
غواصة,submarine
طلال,Talal
البيولوجية,Biological
الألواح,panels
إخرجْ,Get out
السطر,line
ولأجل,And for the sake of
اند,And
شريراً,evil
عيناكِ,Your eyes
سالم,Salem
خاسرة,Loser
الحامض,sour
وحيدين,lonely
نسخه,copy
أجبر,Forced
جابي,Gaby
خضت,I waded
حبر,ink
بخيرٍ,fine
نتخذ,We take
المذكرات,Memoirs
الإرهابي,terrorist
بحاجتك,I need you
مايزال,still
بالقصة,In the story
مهمّ,important
الكاراتيه,Karate
اجرى,He conducted
القصف,bombing
بالفوز,By winning
المجموع,the total
بالإهانة,Insult
خنت,I betrayed you
إيفلين,Evelyn
إصبعي,My finger
فورست,Forest
تقاليد,traditions
الإعجاب,Like
استعراض,review
أفشل,Failed
الزلزال,earthquake
الشفرات,blades
للشراب,For the drink
جئتم,You came
للشمال,North
عاديين,ordinary
وبقية,and the rest
قادره,Capable
الأعداد,preparation
جزئية,Partial
نضعها,We put it
الطاوله,The table
لصالحي,For my benefit
حكمك,Your judgment
فكرةُ,an idea
عاود,Return
قدح,glass
مارتى,Marty
تأتون,You come
كلاير,Claire
يعملوا,They work
انتحر,commit suicide
يخفق,Fail
الغول,The ghoul
أعطينى,Give me
بنادق,rifles
حاربت,I fought
اعتقاله,His arrest
يعتذر,He apologizes
لإستخدام,For use
أديت,I performed
أدلّة,Evidence
نضرب,We hit
المقاتل,fighter
تستحم,Take a bath
مضايقة,harassment
كُلَّ,all
أحبذ,I prefer
قلتم,You said
للتضحية,For sacrifice
بلاء,calamity
فمكِ,Your mouth
بالمطبخ,In the kitchen
بطرح,By offering
لااعرف,I don't know
تتطور,It develops
تخرجوا,They graduated
الهرمونات,hormones
موارد,resources
كيمبل,Kimball
جاسوسة,spy
شرابك,Your drink
نصيبي,My share
قاسم,Qassem
تشيستر,Chester
وصلتم,You have arrived
الأسواق,markets
حجمها,Its size
الأيادي,hands
ساعدك,Help me
بالمخاطر,At risk
المحمص,Roastery
تقتلك,It kills you
لوسى,Lucy
القاهرة,Cairo
كأنكِ,As if you
إركب,Ride
حروب,Wars
إحداها,One of them
إسماً,Name
لَكنَّها,But it
اخذك,I took you
تصدقوا,Give charity
ميرديث,Meredith
بخطر,At risk
تهربي,Escape
سيسبب,It will cause
أرتي,Arti
ملفه,His file
كلوى,renal
استشارة,consultation
يزور,Visits
وظيفتها,Her job
الخراب,ruin
أمّكِ,Your mother
دراجات,Bicycles
معجبين,fans
دفعته,I pushed him
ملابسهم,Their clothes
ورثت,I inherited
اللامعة,shiny
بالفتاة,with the girl
المواصلة,Continuation
الضفادع,frogs
بأحسن,Best
يحترم,Respect
نصابها,Its quorum
تضيف,Add
بورش,Porsche
مبتدئ,junior
بصوتٍ,In a voice
يلحق,Follow
مزيل,Remover
صرخات,screams
حرّ,free
تتلاشى,fade away
يسمونها,They call it
هاتش,Hatch
ويلفريد,Wilfred
العجل,calf
معكرونة,macaroni
كنساس,Kansas
ذهبتم,You went
هباءً,In vain
شاهده,Watch it
والعديد,And many
اتصرف,Act
نعلمه,We teach him
تسليمه,Handing it over
لاداعي,No need
لهـذا,Therefore
أوي,shelter
وجودهم,Their presence
الخلفى,Back
سايد,Side
اعداد,numbers
طابور,a line
مئوية,centenary
.عندما,.when
النظيفة,clean
تسعين,ninety
لتفجير,to detonate
محلول,solution
جوستين,Justin
أخباراً,News
بامكانه,He can
الاستقرار,Stability
شهيرة,Famous
الجشع,Greed
فإنّها,For it
تتعاون,Cooperate
تتطابق,Match
اجلبي,Bring it
الصراحة,Honesty
لحالة,For the case
اوافق,I agree
أستطيـع,I can
الميل,inclination
ايرين,Irene
تخرب,Destroy
موقفنا,Our position
اردته,I wanted it
إتفاقية,agreement
يلهث,panting
انتشرت,It spread
أقنعة,masks
مزاجي,My mood
عازبة,single
فلنرى,Let's see
الحقيبه,The bag
اخطط,I plan
الاخطاء,Mistakes
يتكون,It consists
تراجعت,It declined
مايمكن,What is possible
خنق,throttle
تخطينا,We've surpassed
وفتاة,and a girl
إستيقظي,Wake up
النيابة,Prosecution
.كنت,.I was
اللقطة,The shot
تحبينها,You love it
التطهير,purification
صوتا,voice
المؤسسات,Institutions
سيتولى,He will take over
مارين,Marine
بالندم,Regret
الـ3,The 3
الحقيقيه,The truth
قبره,lark
أشدّ,most severe
درجه,degree
نكره,nobody
مقتنعة,Convinced
أصابها,She was injured
تنزع,Remove
اهتممت,I cared
ابكي,I cry
وحياة,And life
قواه,His strength
خيبت,Disappointed
اتزوج,I'm getting married
يسعنا,We can
عاتقي,My shoulder
ثانيةَ,second
يخرجوا,They go out
بطنه,His stomach
دفعك,Your payment
بايتون,Payton
بفقدان,loss
أليف,Alif
الشيوعية,Communism
جريفين,Griffin
لام,Lam
البؤس,misery
حاضراً,Present
تجسس,to spy
كاليندا,Calinda
مُصاب,injured
تفاهات,Trivialities
السقيفة,The shed
وعيك,Your awareness
منصبه,His position
المنشفة,towel
دري,know
حورية,Mermaid
جالسين,Sitting
الضوئية,optical
تلغي,Cancel
الكوارث,disasters
للتصوير,For photography
التاكو,Tacos
مابين,between
تعملان,They work
يهمس,whispers
شاهدتك,I saw you
يابانية,Japanese
تتبعنا,Follow us
إعطائه,Give it to him
ومَن,And who
يرثى,laments
لحدوث,To occur
شواذ,deviants
لامر,For the
لاتذهب,Don't go
أندروود,Underwood
حصرية,Exclusive
تشعرني,It makes me
ذعر,panic
مقصورة,compartment
أثاث,furniture
ولها,And she
سيمز,Sims
بالقول,By saying
أسبب,Cause
أيعني,I mean
بَعْدَ,after
وال,And
نبلغ,We inform
لرؤيتكِ,To see you
الطبقات,layers
ترتبط,It is related
تَكُونُ,It will be
تحملي,Bear with it
بكامله,Entirely
احتيال,scam
الافتتاح,Opening
فوقنا,Above us
الغجر,Gypsies
هوّن,Take it easy
جرّب,try
جهداً,effort
باترسون,Patterson
قاصر,minor
فويت,Voit
لمتابعة,To follow
لوحدهم,alone
الفاخر,Luxury
الكود,Code
قابلنا,We met
الخلق,Creation
الاخوة,Brothers
عسى,Hopefully
ليقتل,To kill
تكرهه,She hates him
اتش,H
القصد,Intention
الاتهامات,accusations
مدرسه,school
سيّارتي,My car
مديرك,Your manager
مجد,glory
يخترق,penetrate
بحثك,Your search
الهوس,Obsession
ليحضر,To attend
المسافر,traveler
سيقتلنا,He will kill us
المجموعه,The group
اغير,I change
استثنائية,exceptional
رفيعة,Rafia
الشمعة,candle
سينج,Singh
أتحكم,I control
هادىء,quiet
يشرفني,I am honored
الرماية,Archery
السجاد,carpets
منشار,a saw
عيناها,Her eyes
احترم,respect
بلده,town
يُمكننى,I can
الخلل,The malfunction
الصيفية,summer
النغمة,The tone
بحبك,I love you
المدرج,runway
الـ16,16
إنضم,join
فيلد,Field
فكرةٌ,an idea
آيلاند,Island
القشرة,crust
صغيرًا,small
بقائي,My survival
مودي,Moody
الملأ,The assembly
أريدكما,I want you both
اركضي,Run
أقتلهم,Kill them
أولوية,Priority
الممكنة,Possible
بالشجاعة,With courage
أصلحت,I fixed
توك,Tok
كار,Car
بالطبـع,Of course
أخّي,my brother
ديفيا,Divya
أسمعوا,Listen
أبـداً,Never
أذنيك,your ears
بأمك,By your mother
لايجاد,To find
إهتمامك,Your interest
سوزانا,Susanna
نبرة,tone
إيذائك,hurting you
فلما,When
بالعدوى,By infection
تدعوا,It calls
خطيبتك,Your fiancée
مقاعدكم,Your seats
وليمة,feast
استعدت,I prepared
التقاطع,intersection
ندري,We know
تفعلة,Do it
أصول,Origins
تشاهدون,You are watching
العلية,attic
ننتظره,We are waiting for him
بنتي,my girl
تمارا,Tamara
الملصقات,stickers
الظاهر,Apparent
تسلية,entertainment
زمنية,Time
رمزي,symbolic
مايفعله,What he does
أخرسي,Shut up
البرتقالي,orange
موهبتك,Your talent
نجى,He survived
الآف,Thousands
شاك,Shak
مستمتع,amused
روسكو,Roscoe
لرُؤية,To see
الرمادية,Gray
إليزا,Eliza
التأمل,Meditation
موقعها,Its location
تاريخها,Its history
مجرة,Galaxy
ورؤية,And vision
ايضاَ,also
تقتلي,You kill
لجذب,To attract
يستهدف,Targets
بتنفيذ,Implementation
تركتنا,You left us
عنهما,About them
يعرفونه,They know him
الوظيفه,Job
قدميها,Her feet
بعيني,With my eyes
غلي,boil
روكو,Rocco
احتاجت,She needed
نكذب,We lie
لارسون,Larson
صيانة,maintenance
الأخذ,Taking
تنفصل,separate
ذكيّ,tasty
سيجار,cigar
للقول,To say
وزوجتك,And your wife
يتلاشى,fades away
تصرخين,You scream
الصمام,valve
للإنضمام,To join
بأطفال,with children
برسم,Drawing
تنزلق,slip
الارتباط,Link
سهله,Easy
خلاص,enough
الحضيض,rock bottom
ازال,Remove
الغرور,vanity
بحفل,At a ceremony
بالفتيات,girls
وجدوها,They found her
أحوالك,How are you?
فارغاً,empty
تُحاولُ,She tries
ازداد,Increased
الثابت,The constant
الثامنه,Eighth
الخلاف,Dispute
السباحه,swimming
مكعب,cube
أخصائي,Specialist
لصالحه,In his favor
الخارقين,Superheroes
للعامة,For the general public
سفينتك,Your ship
هاسكل,Haskell
إنجليزي,English
قراءته,Reading it
وونغ,Wong
مكيدة,plot
حسان,Hassan
لسوف,I will
اقتلها,Kill her
قابلتهم,I met them
أمثال,Proverbs
تسريحة,hairdo
وضحت,I explained
إدانة,condemnation
تطلقي,Divorce
عموما,generally
طفيفة,slight
الإسترخاء,Relaxation
متأخّر,late
للمساعده,For help
بالذهب,With gold
الحصص,Shares
لأكل,to eat
فوري,immediate
تركيزك,Your focus
لنـا,For us
الرسول,The Messenger
آهات,Sighs
متفقين,Agreed
نسى,forgotten
الأدلّة,Evidence
التسلسل,Sequence
ونبدأ,And we begin
خشبية,wooden
كانه,It was like
فهمتني,Did you get me?
بالحليب,with milk
عاليه,High
بأكل,I eat
لمسها,touched her
طفولتك,Your childhood
ستطلب,You will request
الـ15,The 15
يخاطر,He risks
المـال,Money
بوسعكَ,You can
الفيلق,Legion
الجراثيم,germs
الإجهاض,abortion
المخاوف,Concerns
مرحبـًا,Hello
السريه,secrecy
البوح,Confession
ويعود,And he returns
لعشرة,ten
نعطيهم,We give them
طباخ,a cook
بالفريق,With the team
بالسيطرة,By control
التسلق,climbing
حركه,a movement
خيري,charitable
غريتشن,Gretchen
يضربني,He hits me
اتعلمون,Do you know
تنورة,skirt
الجامعية,University
الأعزاء,Dear ones
إقرأ,Read
الطوابق,floors
غابريل,Gabriel
الأضلاع,ribs
مقاطع,clips
نت,net
ستأكل,You will eat
قبعات,hats
نمرح,Let's have fun
سينما,cinema
ساعدتنا,It helped us
تطوعت,I volunteered
مبارة,match
حوت,whale
امسكوا,Hold on
جانبها,Her side
وعائلتي,and my family
المراحيض,toilets
بإحدى,In one
فكّري,intellectual
أدي,Adi
مسؤولا,Official
بوابات,Gates
مشكوك,Doubtful
الأصول,Assets
يدعني,He lets me
الفلسفة,Philosophy
زرعت,I planted
عجوزاً,old man
يسمعوا,They hear
والأولاد,And the children
آدمز,Adams
أفضلُ,better
ولربما,Perhaps
الساقي,The cupbearer
بغسل,Washing
بكُلّ,In every
بالعائلة,With the family
تتجسس,spying
نهايتها,Its end
التلة,The hill
وصديقي,My friend
ناجحاً,successful
بالسرقة,By stealing
سكير,drunkard
عيشي,Live
سأمر,I will pass by
برمجة,programming
فران,Fran
الغنية,rich
بكونه,Being
يستمرّ,It continues
مغلقا,Closed
حضارة,civilization
المقلي,fried
والقليل,And a few
قصف,bombing
صريحين,Frank
تعطيهم,Give them
الحالةِ,the condition
للمعلومات,For information
عوالم,worlds
قاتلوا,Fight
تفاجأت,I was surprised
تتبعها,Follow it
شاغرة,Vacant
أرسلتُ,I sent
ارجعوا,Go back
هاجموا,They attacked
جوسي,Juicy
الناسَ,the people
تطورت,It evolved
دعيهم,Let them
الالمان,Germans
لمساعدتكِ,To help you
تسمعون,You hear
البقشيش,Tip
أحترق,I'm burning
الجراج,The garage
أخبرونا,Tell us
استئجار,Rent
يتركوا,They leave
منشغلة,Busy
مسز,Mrs
جزاء,penalty
ايمكنني,Can I?
الفاصولياء,beans
نتركها,We leave it
اختصار,abbreviation
لأحدٍ,For someone
قُمنا,We did
عَمَل,a job
اغبياء,Stupid
فلنخرج,Let's go out
والبقية,And the rest
رافعة,lever
لكلا,For both
خائفًا,scared
أموري,My affairs
شرائط,strips
تُريدُني,You want me
الأسبانية,Spanish
لمنطقة,For the area
اُريد,I want
إفطار,breakfast
الانفاق,Spending
تعترض,object
ستندم,You will regret it
كفالة,Guarantee
مسدسا,pistol
أتم,Complete
لتأكيد,To confirm
يقودها,It leads her
لانغلي,Langley
الأَبّ,father
ستساعد,It will help
برية,wilderness
مليئه,full
بأزمة,crisis
قائدهم,Their leader
الحاد,atheism
يتساقط,It falls
آتِ,at
يحتاجني,He needs me
أسلحتهم,Their weapons
للتكلم,To speak
الزملاء,colleagues
تصيبني,It hurts me
المكسرات,Nuts
ستجده,You will find it
بومباي,Bombay
لتصوير,For photography
تبدي,Shows
ترَ,See
تجاهها,Towards her
السكري,Diabetes
الصوديوم,sodium
إرتدي,wear
نسيطر,We control
تبادلنا,We exchanged
عليهن,On them
اوكى,okay
أتعرفي,Do you know
بالحرية,Freedom
ويعمل,And it works
الـ18,18
شامبانيا,champagne
مخصصة,Dedicated
للإنتقام,For revenge
ترقد,She lies
قدْ,may
الرافعة,crane
اعنيه,I mean it
بومان,Bowman
ذبح,slaughter
تعرضوا,They were exposed
المقرف,disgusting
سويني,Sweeney
تقلع,Take off
غيابه,His absence
سيدنى,Sydney
إهتم,Pay attention
أشأ,I want
المصحة,sanatorium
المثليين,gay
ملكتي,my queen
نصور,We photograph
المطلوبين,Wanted
سنناقش,We will discuss
حيًّا,Alive
ذكرته,I mentioned it
منعزل,secluded
مهتمون,Interested
ماكسويل,Maxwell
نخبرهم,We tell them
أنتون,Anton
هايدرا,Hydra
العنيفة,violent
حسبك,Enough for you
سأمت,I'm tired
دايفس,Davis
أحقا,Really?
التعرّف,identification
الآخرِ,The other
هايدن,Hayden
تعين,Appoint
ماضيه,His past
أثراً,Impact
بيكاسو,Picasso
دخيل,Intruder
وثلاث,And three
يطالب,demands
آيك,Ike
شركه,a company
.أوه,Oh
أفق,skyline
البنتِ,girl
فلديّ,I have
الأعماق,The depths
بيتاً,home
الحسبان,Calculation
لِي,for me
ايد,Aid
المنصرم,past
إنتظارك,Waiting for you
لانج,Lang
للذين,For those
جهنم,hell
التسمم,poisoning
طاقمي,My crew
بطاقته,His card
تيتو,Tito
محامين,lawyers
الضابطة,The officer
الموجهة,The guide
المشجعات,cheerleaders
انتباهي,My attention
أبطأ,slower
أشتقت,I yearned
اكرهك,I hate you
للرئاسة,For the presidency
وشاح,scarf
عازب,single
جـاس,Jas
بالصورة,In the picture
جعفر,Jafar
شهرا,months
لأمره,For his command
سيريل,Cyril
أصابت,It hit
سيلا,Sila
ظلم,injustice
الحساسة,sensitive
أعينكم,Your eyes
تدريبك,Your training
وجميل,And beautiful
فترات,periods
يحلق,shave
إتصلوا,Call
نستخدمه,We use it
ويعتقد,It is believed
رسومات,drawings
أخيها,Her brother
أحضرتني,You brought me
بمنزلك,At your home
المستخدمة,Used
استأجر,hire
ضيوفنا,Our guests
مُنذُ,since
ونعرف,And we know
نظريتك,Your theory
أقبلك,I accept you
الأنانية,selfishness
الاختفاء,Disappearance
وحدهم,alone
شمالا,North
أراكي,I see you
الرواتب,salaries
حادثه,incident
الذهـاب,Going
ذَهبَ,gold
عقلكِ,Your mind
تتحطم,It crashes
كانـت,It was
بمكانٍ,In a place
لعلها,Perhaps
.هناك,.there
امانع,I object
قريتنا,Our village
يعرفان,They know
وقمنا,And we did
أحدثك,I'm telling you
تعانى,Suffering
شعرتِ,Did you feel
لأداء,To perform
واعرف,And know
تقيأت,I vomited
تمرد,insurgency
الوقتُ,the time
بالتوقف,By stopping
يطلقوا,They release
تصوّر,imagine
ثوانى,seconds
صُنع,to make
الفاسدة,corrupt
اوقفوا,Stop
خاصتى,my
بالفشل,Failure
جرعات,Doses
أثقل,heavier
لأعيش,To live
تاندي,Tandy
رطب,moist
بحوالي,about
كابي,Kabi
تيا,Tia
وقطع,and cut
وامرأة,and a woman
رطبة,Moist
ليوناردو,Leonardo
سيقضي,He will spend
للاطفال,For children
فكتوريا,Victoria
صعوبات,difficulties
اعتقل,Arrested
متحمسون,Excited
مفاجأه,a surprise
أرادَ,He wanted
حياتِي,my life
منهك,exhausted
مذعورة,Terrified
صفقه,deal
بزوجتي,With my wife
مخادعة,deceptive
واجهنا,We faced
دود,worm
تلاعبت,Manipulated
روتين,routine
كولت,Colt
خطبكِ,Your speech
البازلاء,peas
جينجر,Ginger
بوست,Post
صاخب,raucous
ساينت,Saint
سدني,Sydney
تلد,give birth
ضحكة,laughter
الإحتيال,Fraud
أفعـل,I do
ستتغير,It will change
بصري,optical
مكانى,My place
بالأخص,Especially
جريم,Grim
للخدمة,For service
أتسمحين,May I?
نباتات,plants
عنيته,I meant it
نظير,match
متدرب,trainee
أحتفل,celebrate
للسطح,For the surface
هيروين,heroin
سانج,Sang
بهدف,With the aim
أطمئن,I'm reassured
أبعده,Keep him away
توقعي,anticipatory
المُشكلة,The problem
خليلتك,Your girlfriend
محفظته,His wallet
كمال,Kamal
لف,He wrapped
أنجي,save
تر,Ter
كورتيز,Cortez
قي,Qi
عساك,May you
حمدًا,Praise be to God
مِثل,like
أرتدى,wear
السيّارات,Cars
نشاطات,Activities
لغرفتك,For your room
الميدالية,medal
فيرجل,Virgil
تسعون,ninety
انتزاع,grab
مكتئب,depressed
فناء,courtyard
الفلك,Astronomy
افتحها,Open it
طباعة,print
شرارة,spark
أوصلني,Take me
جلده,His skin
اصرخ,Scream
المسجل,The registrar
بانكوك,Bangkok
صوابه,Correct
نائمون,Sleeping
مهمات,Missions
مثالى,ideal
شكـرا,Thank you
أحلق,shave
الكاذبة,The liar
ميدانية,Field
جيّدا,well
يراودني,I have a feeling
سلوكه,His behavior
جارفيس,Jarvis
الإنجاب,Reproduction
تقتربي,You are getting closer
غذائي,My food
باشا,Pasha
ستتحسن,It will get better
زميله,His colleague
خذلتك,I let you down
جالسا,Sitting
تهربين,You're running away
المزمار,The flute
نتحمل,We endure
سرى,secret
رأسا,head
زميلة,colleague
المدرسةِ,the school
بعائلة,family
الشوكي,Spiny
نقرأ,We read
وَجدتُ,I found
سأتولّى,I will take over
صديقاتك,Your friends
للمتجر,For the store
الإنطلاق,Launch
قاربت,It approached
والشخص,and the person
الزينة,Decoration
أنس,Anas
جندياً,soldier
التحف,Antiques
تكـون,It is
وانتظر,And wait
ككل,as a whole
ساموراي,Samurai
اللحن,melody
مسقط,Muscat
الفراشة,butterfly
دنفر,Denver
الضرورة,Necessity
قاما,They stood
بيا,Bya
حفلاً,party
سيدفعون,They will pay
فيلمك,Your movie
يـوم,day
حصانة,immunity
المشورة,Advice
الخالة,aunt
بجديه,seriously
المقيمين,Residents
طعامه,His food
لإمرأة,For a woman
وتعمل,And it works
إنا,I
كَانَت,She was
بوالدي,My father
إفريقيا,Africa
فرانسوا,François
حواجز,Barriers
واعلم,And know
أُصيب,He was injured
إمسك,hold
مذاقها,Its taste
تتركنى,Leave me
غسلت,Washed
ستكونان,They will be
لنر,Let's see
يفعلونها,They do it
يوجدُ,There is
كافيًا,Enough
يليه,Followed by
معضلة,dilemma
معارك,battles
أسألها,I ask her
المدمنين,addicts
توقّفوا,Stop
آرت,Art
تودون,Todon
الملازمة,The companion
حكمت,He ruled
أبوكِ,Your father
سيقتلون,They will kill
وابنه,And his son
لتوّي,Just now
النظرات,looks
التفاهم,Understanding
دقيقاً,Accurate
قوائم,Lists
جرّاء,Due to
تدخلت,I intervened
المسكن,housing
اوو,Oh
انقلب,flipped
هربنا,We escaped
ذاهِب,Going
تغرب,Exile
مهمين,Important
نسيم,breeze
المزحة,The joke
سأتدبر,I'll manage
مملوء,Filled
ليه,for him
الواعظ,The preacher
بشرب,I drink
سيؤول,Seoul
أنزع,Remove
العطلات,holidays
وحيث,Where
عدوانية,aggression
بت,bit
كأحد,As one
مصابين,Injured
مألوفا,familiar
وتعتقد,And she believes
ليبقى,To remain
كارلايل,Carlisle
زلتي,My slip
.انه,.that it
هوكينز,Hawkins
سيقان,legs
مشرقة,bright
يكرهك,He hates you
سأغير,I will change
الحسن,Hassan
بالمعنى,In meaning
قائداً,Leader
المملة,boring
بإنتظارك,Waiting for you
لقاح,vaccine
مبتذل,tacky
واحـد,One
لداخل,inside
الطباعة,Printing
متأكدٌ,sure
رفضه,He refused
ولف,Wolf
إحداهن,One of them
ابقِ,fugitive
مرّةً,time
غيـر,Other
يمنحني,Give me
صورك,your pictures
وافقوا,They agreed
منتظمة,Regular
الفتاتان,The two girls
للدعم,For support
أهدئي,Calm down
بالتصرف,By acting
مشعوذ,swindler
بهجة,joy
الرؤى,Visions
ديارهم,Their homes
تين,fig
بمراقبة,Under surveillance
مكون,component
راند,Rand
بالسير,By walking
يتبعني,Follow me
كيونج,Kyung
فقاعة,bubble
عادلا,fair
سيعطيك,It will give you
قيادتها,Its leadership
ليال,Nights
الأستوديو,The studio
تايت,Tight
مسارات,Paths
أحدد,I specify
بمعروف,With kindness
جرأة,boldness
ذروة,climax
إعتقدنا,We thought
سنجري,We will be
العبد,slave
إجلسوا,Sit down
إسمكِ,your name
بلوبيل,Bluebell
واخرج,And get out
جائعا,hungry
علمته,I taught him
يتوجه,He heads
لالتقاط,To capture
أسرتك,Your family
السفلة,The scoundrels
رسام,artist
أنزلني,Put me down
التقي,meet
مكشوفة,Exposed
لنبقى,Let's stay
منزعجاً,Annoyed
حقه,his right
ونج,And we
الادارة,Administration
البريئة,innocent
للصف,For the class
علمتك,I taught you
إصبعك,Your finger
مخالب,claws
تتورط,get involved
واضحه,Clear
يسلم,He surrenders
سئمتُ,I'm fed up
ويندل,Wendell
كلاريس,Clarisse
ضميري,My conscience
معاملتي,My treatment
سلّم,peace
جنيف,Geneva
الحانه,His melodies
التعقيد,Complexity
سيبيل,Sibyl
التطفل,parasitism
يتناسب,It fits
وأنّه,And that he
اصدقائى,my friends
وقّع,He fell
خرائط,maps
خليلك,Your friend
لتأمين,To secure
مريعاً,terrible
الفاشلين,The failures
انقلبت,It flipped
الاهي,My God
استعادتها,Recover it
الخفي,hidden
المشعوذ,The sorcerer
المفجر,The bomber
بالكتابة,By writing
كمْ,how much
جرّاح,surgeon
راب,Rap
سأبلغ,I will inform
مستعمرة,colony
مواهب,talents
المغفلين,fools
تهانئي,Congratulations
الطفله,The child
ونقول,And we say
معهن,With them
دعمك,Your support
نقفز,We jump
المكنسة,broom
أوجي,Oji
دبوس,pin
زمان,time
المبتدئ,beginner
رويال,Royal
ماكانت,What was
بسيطه,simple
أضربه,Hit him
المعقدة,complex
ويريدون,And they want
ثدي,breast
شير,Share
القصيدة,The poem
مذعور,aghast
الفريد,The unique
أظنّك,I think you
لبيتك,For your home
إحضر,bring
نيكس,Nicks
شارلين,Charlene
يزعج,Annoying
ستقدم,It will present
بالغباء,stupidity
الصحن,The plate
مصيرنا,Our destiny
اطلاقاً,at all
مسك,musk
يعلمه,He teaches him
نسألك,We ask you
مُعجب,a fan
الالاف,thousands
حفيدتي,My granddaughter
أخفى,hid
ذكيّة,smart
روبينز,Robbins
روكسي,Roxy
فيتو,Veto
وخرج,And he went out
أحترس,beware
تنتمين,You belong
التقرب,Getting closer
النازية,Nazism
بعلم,With knowledge
يبلي,wears
اللاجئين,refugees
البابِ,The door
يحرك,moves
موعدا,Appointment
بشرتك,your skin
سجينة,prisoner
بقائك,Your survival
للكلية,For the college
جيا,Gia
اهو,Ah
عامان,Two years
طعامنا,Our food
أعيدها,Return it
بالموسيقى,With music
مهني,professional
سيطرت,Control
وراءك,Behind you
بشعر,With hair
الرخيص,cheap
معالجته,Treating it
سنجاب,squirrel
لقدومكم,For your arrival
أوراقك,Your papers
المحاصيل,crops
نباتية,Vegetarian
بدر,Badr
بتعديل,By modification
الغاء,cancellation
أصابعه,His fingers
الدوار,roundabout
جنائي,criminal
ورائه,Behind him
بكلامك,With your words
حدائق,gardens
عنوانها,Its title
الوكالات,Agencies
نومها,Her sleep
بَدأَ,He began
ظنّ,thought
قائمه,existing
